CNPJ_CIA;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CONST;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CD_CVM;SETOR_ATIV;TP_MERC;CATEG_REG;DT_INI_CATEG;SIT_EMISSOR;DT_INI_SIT_EMISSOR;CONTROLE_ACIONARIO;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;PAIS;CEP;DDD_TEL;TEL;DDD_FAX;FAX;EMAIL;TP_RESP;RESP;DT_INI_RESP;LOGRADOURO_RESP;COMPL_RESP;BAIRRO_RESP;MUN_RESP;UF_RESP;PAIS_RESP;CEP_RESP;DDD_TEL_RESP;TEL_RESP;DDD_FAX_RESP;FAX_RESP;EMAIL_RESP;CNPJ_AUDITOR;AUDITOR
61.067.902/0001-30;ÁGUAS DO PARÁ B SPE S.A.;ÁGUAS DO PARÁ B SPE S.A.;2026-01-15;2025-05-19;;;ATIVO;2026-01-15;27960;Saneamento, Serv. Água e Gás;BALCÃO ORGANIZADO;Categoria B;2025-10-02;FASE OPERACIONAL;2025-10-02;PRIVADO;SEDE;Avenida Coronel Nazeazeno Ferreira, nº 393;sala 01;Padre Luiz;BRAGANÇA;PA;BRASIL;68600000;19;34598300;;;dri@aegea.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;André Pires de Oliveira Dias;2025-08-27;Avenida Brigadeiro Faria Lima, nº 1.663;1º andar, sala 1;Jardim Paulistano;SÃO PAULO;SP;;1452001;11;38188150;;;dri@aegea.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
61.067.904/0001-29;ÁGUAS DO PARÁ D SPE S.A.;ÁGUAS DO PARÁ D SPE S.A.;2026-01-15;2025-05-19;;;ATIVO;2026-01-15;27987;Saneamento, Serv. Água e Gás;BALCÃO ORGANIZADO;Categoria B;2025-10-02;FASE OPERACIONAL;2025-10-02;PRIVADO;SEDE;Rua A, nº 613, Quadra 09;Lote 16 B COM;Primavera;PARAUAPEBAS;PA;BRASIL;68515000;19;34598300;;;dri@aegea.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;André Pires de Oliveira Dias;2025-08-27;Avenida Brigadeiro Faria Lima, nº 1.663;1º andar, sala 1;Jardim Paulistano;SÃO PAULO;SP;;1452001;11;38188150;;;dri@aegea.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
42.310.775/0001-03;ÁGUAS DO RIO 1 SPE S.A.;ÁGUAS DO RIO 1 SPE S.A.;2022-03-30;2021-05-26;;;ATIVO;2022-03-30;26735;Saneamento, Serv. Água e Gás;BOLSA;Categoria B;2021-11-04;FASE OPERACIONAL;2021-11-04;PRIVADO;SEDE;Avenida Rodrigues Alves, nº 10;Armazém 2, Bloco 1;Saúde;RIO DE JANEIRO;RJ;BRASIL;20081250;11;38188150;;;dri@aegea.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Anselmo Henrique Seto Leal;2022-03-19;Avenida Rodrigues Alves, nº 10;Armazém 2, Bloco 1;Saúde;RIO DE JANEIRO;RJ;;20081250;11;38188150;;;dri@aegea.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
42.644.220/0001-06;ÁGUAS DO RIO 4 SPE S.A.;ÁGUAS DO RIO 4 SPE S.A.;2022-03-30;2021-05-26;;;ATIVO;2022-03-30;26743;Saneamento, Serv. Água e Gás;BALCÃO ORGANIZADO;Categoria B;2021-11-05;FASE OPERACIONAL;2021-11-04;PRIVADO;SEDE;Avenida Rodrigues Alves, nº 10;Armazém 2, Bloco 4;Saúde;RIO DE JANEIRO;RJ;BRASIL;20081250;11;38188150;;;dri@aegea.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Anselmo Henrique Seto Leal;2022-03-18;Avenida Rodrigues Alves, nº 10;Armazém 2, Bloco 4;Saúde;RIO DE JANEIRO;RJ;;20081250;11;38188150;;;dri@aegea.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
45.456.117/0001-12;ÁGUAS DO SERTAO S.A.;ÁGUAS DO SERTAO S.A.;2023-11-03;2022-02-01;;;ATIVO;2023-11-03;27359;Saneamento, Serv. Água e Gás;BALCÃO ORGANIZADO;Categoria B;2023-10-30;FASE OPERACIONAL;2023-10-30;PRIVADO HOLDING;SEDE;"Praça Comendador Peixoto, 117, sala ""I"", Centro";;Centro Histórico;PENEDO;AL;BRASIL;57200000;82;35120015;;;administracao@aguasdosertao.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;Cláudio Roberto de Leoni Ramos;2023-02-23;Rua João Huss, 380;Apto 903;Fazenda Oalhano;LONDRINA;PR;;86050490;43;30253636;;;claudio.ramos@conasa.com;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
04.089.570/0001-50;AGUAS GUARIROBA S.A.;AGUAS GUARIROBA S.A;2014-08-06;2000-09-29;;;ATIVO;2014-08-06;23442;Saneamento, Serv. Água e Gás;BALCÃO ORGANIZADO;Categoria B;2014-08-06;FASE OPERACIONAL;2014-06-03;PRIVADO;SEDE;Rua Antonio Maria Coelho, n.º 5401;;Santa Fé;CAMPO GRANDE;MS;BRASIL;79021170;67;33895748;;;dri@aegea.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;André Pires de Oliveira Dias;2020-11-10;Av Brigadeiro Faria Lima, nº 1.663 - Ed. Plaza São Lourenço;1º andar, sl 1;Jardim Paulistano;SÃO PAULO;SP;;1452001;11;38188150;;;dri@aegea.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
23.438.929/0001-00;ALARES INTERNET PARTICIPAÇÕES S/A;;2020-10-14;2015-09-08;;;ATIVO;2020-10-14;25194;Emp. Adm. Part. - Telecomunicações;BALCÃO ORGANIZADO;Categoria A;2020-10-14;FASE OPERACIONAL;2020-08-18;PRIVADO;SEDE;Rua São Tomé, nº 86;10º andar, conj. 101;Vila Olimpia;SÃO PAULO;SP;BRASIL;4551080;84;20109009;;;ri@alaresinternet.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Danilo Donati Perez;2022-04-06;Rua São Tomé, nº 86;10º andar, conj. 101;Vila Olimpia;SÃO PAULO;SP;;4551080;11;20809000;;;ri@alaresinternet.com.br;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
17.167.396/0001-69;ALFA HOLDINGS S.A.;ALFA HOLDINGS;1977-07-20;1969-08-11;;;ATIVO;1977-07-20;9954;Emp. Adm. Part. - Intermediação Financeira;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;1977-07-20;PRIVADO HOLDING;SEDE;Avenida Paulista, 2.150;17 andar;Bela Vista;SÃO PAULO;SP;BRASIL;1310300;11;31755493;11;31755026;juridico.societario@safra.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Leandro de Azambuja Micotti;2025-01-01;Av. Paulista, 2.100;;Bela Vista;SÃO PAULO;SP;;1310930;11;31757613;;;dri@bancoalfa.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
71.208.516/0001-74;ALGAR TELECOM S/A;CTBC TELECOM;2007-07-27;2004-01-01;;;ATIVO;2007-07-27;21032;Telecomunicações;;Categoria B;2010-01-01;FASE OPERACIONAL;2007-07-27;PRIVADO;SEDE;Rua José Alves Garcia, 415;-;Brasil;UBERLÂNDIA;MG;BRASIL;38400668;34;32562978;;;ri@algar.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;GUSTAVO URAMOTO MATSUMOTO;2024-06-03;AV JOSÉ ALVES GARCIA 415;;BRASIL;;;;38400668;34;32562155;;;ri@algar.com.br;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
61.156.931/0001-78;ALIPERTI S.A.;ALIPERTI S.A.;1986-06-06;1924-01-02;;;ATIVO;1986-06-06;12823;Emp. Adm. Part. - Agricultura (Açúcar, Álcool e Cana);BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;1986-06-06;PRIVADO;SEDE;Rua Afonso Aliperti;180;Agua Funda;SÃO PAULO;SP;BRASIL;4156090;11;21379800;11;21379822;ri@grupoaliperti.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Joselaine Cristina Bueno;2024-05-13;Rua Afonso Aliperti, nº 180;;Água Funda;SÃO PAULO;SP;;4156090;11;21379844;;;josi.bueno@aliperti.com.br;10.448.113/0001-08;GF AUDITORES INDEPENDENTES
42.771.949/0001-35;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;2016-10-26;1992-08-05;;;ATIVO;2016-10-26;24058;Serviços Médicos;BOLSA;Categoria A;2016-10-26;FASE OPERACIONAL;2016-08-30;PRIVADO;SEDE;Rua Afonso de Freitas, 59;Piso Superior;Paraiso;SÃO PAULO;SP;BRASIL;4006050;11;50881050;11;50881050;;DIRETOR DE RELAÇÕES COM INVESTIDORES;JOSE LUIZ MENDES RAMOS JUNIOR;2025-11-13;RUA AFONSO DE FREITAS, 59;PISO SUPERIOR;PARAÍSO;SÃO PAULO;SP;;4006050;11;94980636;0;0;ri@allianca.com;40.262.602/0001-31;BKR - LOPES, MACHADO AUDITORES
20.247.322/0001-47;ALLIED TECNOLOGIA S.A.;ALLIED TECNOLOGIA S.A.;2020-11-25;2014-04-10;;;ATIVO;2020-11-25;25330;Comércio (Atacado e Varejo);BALCÃO NÃO ORGANIZADO;Categoria A;2020-11-25;FASE OPERACIONAL;2020-02-07;PRIVADO;SEDE;Avenida das Nações Unidas, n° 12.995;22° (parte) e 23º;Brooklin Paulista;SÃO PAULO;SP;BRASIL;4578911;11;45255199;11;45255199;ri@alliedbrasil.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;THALITA BASSO;2025-02-01;Av. das Nações Unidas, n° 12.995;22° (parte) e 23°;Brooklin Paulista;SÃO PAULO;;;4578911;11;55039999;;;ri@alliedbrasil.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
20.247.322/0001-47;ALLIED TECNOLOGIA S.A.;ALLIED TECNOLOGIA S.A.;2020-11-25;2014-04-10;;;ATIVO;2020-11-25;25330;Comércio (Atacado e Varejo);BALCÃO ORGANIZADO;Categoria A;2020-11-25;FASE OPERACIONAL;2020-02-07;PRIVADO;SEDE;Avenida das Nações Unidas, n° 12.995;22° (parte) e 23º;Brooklin Paulista;SÃO PAULO;SP;BRASIL;4578911;11;45255199;11;45255199;ri@alliedbrasil.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;THALITA BASSO;2025-02-01;Av. das Nações Unidas, n° 12.995;22° (parte) e 23°;Brooklin Paulista;SÃO PAULO;;;4578911;11;55039999;;;ri@alliedbrasil.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
05.878.397/0001-32;ALLOS S.A.;ALLOS S.A.;2011-02-01;2003-07-17;;;ATIVO;2011-02-01;22357;Emp. Adm. Part. - Comércio (Atacado e Varejo);BALCÃO ORGANIZADO;Categoria A;2011-02-01;FASE OPERACIONAL;2011-02-01;PRIVADO HOLDING;SEDE;Avenida Afrânio de Melo Franco, 290;1º andar;Leblon;RIO DE JANEIRO;RJ;BRASIL;22430060;21;21767272;11;38495425;ri@allos.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Daniella de Souza Guanabara Santos;2019-08-05;Avenida Afrânio de Melo Franco, 290;1º andar;Leblon;RIO DE JANEIRO;RJ;;22430060;21;25839800;;;ri@allos.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
05.878.397/0001-32;ALLOS S.A.;ALLOS S.A.;2011-02-01;2003-07-17;;;ATIVO;2011-02-01;22357;Emp. Adm. Part. - Comércio (Atacado e Varejo);BOLSA;Categoria A;2011-02-01;FASE OPERACIONAL;2011-02-01;PRIVADO HOLDING;SEDE;Avenida Afrânio de Melo Franco, 290;1º andar;Leblon;RIO DE JANEIRO;RJ;BRASIL;22430060;21;21767272;11;38495425;ri@allos.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Daniella de Souza Guanabara Santos;2019-08-05;Avenida Afrânio de Melo Franco, 290;1º andar;Leblon;RIO DE JANEIRO;RJ;;22430060;21;25839800;;;ri@allos.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
60.537.263/0001-66;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;2020-05-13;1989-04-19;;;ATIVO;2020-05-13;24953;Serviços Transporte e Logística;BALCÃO ORGANIZADO;Categoria A;2020-05-13;FASE OPERACIONAL;2020-02-17;PRIVADO;SEDE;Avenida Presidente Juscelino Kubitschek, 1830;Torre 3 - 3º andar;Vila Nova Conceição;SÃO PAULO;SP;BRASIL;4543000;11;21618099;;;ri@estapar.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Daniel Henrique Nogueira Soraggi e Castro;2022-12-19;Avenida Presidente Juscelino Kubitschek 1830;Torre 3, 3º andar;Vila Nova Conceição;SÃO PAULO;SP;;4543000;11;21618099;;;ri@estapar.com.br;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
60.537.263/0001-66;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;2020-05-13;1989-04-19;;;ATIVO;2020-05-13;24953;Serviços Transporte e Logística;BOLSA;Categoria A;2020-05-13;FASE OPERACIONAL;2020-02-17;PRIVADO;SEDE;Avenida Presidente Juscelino Kubitschek, 1830;Torre 3 - 3º andar;Vila Nova Conceição;SÃO PAULO;SP;BRASIL;4543000;11;21618099;;;ri@estapar.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Daniel Henrique Nogueira Soraggi e Castro;2022-12-19;Avenida Presidente Juscelino Kubitschek 1830;Torre 3, 3º andar;Vila Nova Conceição;SÃO PAULO;SP;;4543000;11;21618099;;;ri@estapar.com.br;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
82.120.676/0001-83;ALMEIDA JUNIOR SHOPPING CENTERS S.A.;ALMEIDA JUNIOR SHOPPING CENTERS S.A.;2021-11-22;1990-08-01;;;ATIVO;2021-11-22;26395;Emp. Adm. Part. - Comércio (Atacado e Varejo);;Categoria A;2021-11-22;FASE OPERACIONAL;2021-06-23;PRIVADO;SEDE;Av. Brigadeiro Faria Lima, n°2.277, 16° andar, conj.1.604;Ed Plaza Iguatemi;Jardim Paulistano;SÃO PAULO;SP;BRASIL;1452000;11;37073333;;;ri@almeidajunior.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;JAIMES BENTO DE ALMEIDA JUNIOR;2026-04-30;Avenida Brigadeiro Faria Lima;cj 1604;Jardim Paulistano;SÃO PAULO;SP;;1452000;11;995498908;;;ri@almeidajunior.com.br;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
61.079.117/0001-05;ALPARGATAS SA;ALPARGATAS;1977-07-20;1907-04-03;;;ATIVO;1977-07-20;10456;Têxtil e Vestuário;BALCÃO ORGANIZADO;Categoria A;2010-01-01;FASE OPERACIONAL;1977-07-20;PRIVADO;SEDE;Av. das Nações Unidas, 14261;Ala A, 10o andar;Vila Gertrudes;SÃO PAULO;SP;BRASIL;4794000;11;38477397;11;30451199;ri@alpargatas.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;André Corrêa Natal;2023-04-01;Avenida das Nações Unidas, 14261;10º andar, Ala A;Vila  Gertudes;SÃO PAULO;;;4794000;11;45697322;;;ri@alpargatas.com;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
61.079.117/0001-05;ALPARGATAS SA;ALPARGATAS;1977-07-20;1907-04-03;;;ATIVO;1977-07-20;10456;Têxtil e Vestuário;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;1977-07-20;PRIVADO;SEDE;Av. das Nações Unidas, 14261;Ala A, 10o andar;Vila Gertrudes;SÃO PAULO;SP;BRASIL;4794000;11;38477397;11;30451199;ri@alpargatas.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;André Corrêa Natal;2023-04-01;Avenida das Nações Unidas, 14261;10º andar, Ala A;Vila  Gertudes;SÃO PAULO;;;4794000;11;45697322;;;ri@alpargatas.com;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
16.811.931/0001-00;ALPHAVILLE S.A.;;2020-11-05;2012-02-13;;;ATIVO;2020-11-05;25275;Construção Civil, Mat. Constr. e Decoração;BOLSA;Categoria A;2020-11-05;FASE OPERACIONAL;2020-08-13;PRIVADO;SEDE;Avenida das Nações Unidas, 14.171;7º andar-Torre A;Vila Gertrudes;SÃO PAULO;SP;BRASIL;4794000;11;30305114;;;ri@alphaville.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Eduardo Ramos Canonico;2024-01-15;Avenida das Nações Unidas, nº 14.171;7º andar - Torre A;Vila Gertrudes;SÃO PAULO;SP;;4794000;11;30305114;;;ri@alphaville.com.br;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
48.344.725/0007-19;ALTHAIA S.A. INDÚSTRIA FARMACÊUTICA;ALTHAIA S.A. INDÚSTRIA FARMACÊUTICA;2022-11-30;1992-07-02;;;ATIVO;2022-11-30;27030;Farmacêutico e Higiene;BALCÃO ORGANIZADO;Categoria B;2022-11-30;FASE OPERACIONAL;2022-09-09;PRIVADO;SEDE;Avenida Tégula, nº 888;Mód 01,15,16,17,21;Ponte Alta;ATIBAIA;SP;BRASIL;12952820;11;44178393;;;ri@althaia.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;ALLYSSON FERNANDO YAMAMOTO;2024-08-16;AVENIDA TÉGULA, Nº 888;MÓD 01,15,16,17,21;PONTE ALTA;ATIBAIA;SP;;12952820;11;44178393;0;0;ri@althaia.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
